date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,horse_wight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id,race_type,surface
2019-03-02,2中山3,晴,11,夕刊フジオーシャンS(G3),201906020311,16,2,3,132.0,14,15,00422,57,1200,良,68.9,1.8,13-13,32.3-34.8,35.1,518(+6),2015110017, ,2008104268,G3,芝
2018-09-30,4中山9,雨,11,スプリンターズS(G1),201806040911,16,2,4,100.3,14,15,01096,57,1200,稍,70.3,2.0,9-9,33.0-35.3,36.4,512(0),2013100612, ,2008104268,G1,芝
2018-07-01,3中京2,晴,11,CBC賞(G3),201807030211,18,6,11,49.1,12,12,01018,58,1200,良,67.6,0.6,18-18,32.7-34.3,33.0,512(-6),2012102017, ,2008104268,G3,芝
2018-06-07,門別,晴,11,北海道スプリントカッ(G3),201830060711,16,5,10,10.1,5,3,05091,59,1200,良,73.0,0.1,6-7,0.0-38.2,37.6,518(+3),2012110058,330.0,2008104268,G3,ダ
2018-04-18,大井,晴,11,東京スプリント競走(G3),201844041811,16,3,5,18.9,8,7,01096,58,1200,不,72.8,1.0,14-13,34.4-37.4,37.5,515(+5),2010105860, ,2008104268,G3,ダ
2018-03-25,2中京6,晴,11,高松宮記念(G1),201807020611,18,2,4,130.0,15,9,01096,57,1200,良,69.0,0.5,13-13,33.3-35.2,34.3,510(-8),2013100612, ,2008104268,G1,芝
2018-03-03,2中山3,晴,11,夕刊フジオーシャンS(G3),201806020311,16,6,11,18.9,8,11,01096,57,1200,良,68.9,0.6,13-14,33.5-34.8,34.0,518(+2),2013101315, ,2008104268,G3,芝
2017-12-10,5中山4,晴,11,カペラS(G3),201706050411,16,8,15,17.7,8,2,01096,58,1200,良,71.1,0.1,9-10,34.0-37.0,36.5,516(+4),2014105108,"1,416.2",2008104268,G3,ダ
2017-11-03,大井,晴,8,JBCスプリント競走(G1),201744110308,16,4,8,12.3,7,7,01096,57,1200,重,71.9,0.5,7-6,34.6-36.8,36.9,512(+2),2011105438, ,2008104268,G1,ダ
2017-10-01,4中山9,曇,11,スプリンターズS(G1),201706040911,16,1,1,103.3,16,4,01096,57,1200,良,67.7,0.1,12-12,33.9-33.7,33.0,510(+6),2011104416,"1,500.0",2008104268,G1,芝
2017-09-10,4阪神2,晴,11,産経賞セントウルS(G2),201709040211,14,7,11,23.3,7,8,01096,57,1200,良,68.1,0.6,8-7,33.8-33.7,33.3,504(-8),2013100612, ,2008104268,G2,芝
2017-07-02,3中京2,雨,11,CBC賞(G3),201707030211,18,6,11,34.2,12,5,01096,58,1200,良,68.3,0.3,15-15,33.2-34.8,33.5,512(-2),2012104638,390.0,2008104268,G3,芝
2017-06-08,門別,曇,11,北海道スプリントカッ(G3),201730060811,16,5,9,6.0,3,3,01096,59,1200,不,70.2,0.8,10-8, ,35.3,514(+2),2011105438,330.0,2008104268,G3,ダ
2017-03-26,2中京6,小雨,11,高松宮記念(G1),201707020611,18,6,11,62.6,11,7,01096,57,1200,稍,69.4,0.7,11-12,33.8-34.9,34.5,512(-2),2013104230, ,2008104268,G1,芝
2017-03-04,2中山3,曇,11,夕刊フジオーシャンS(G3),201706020311,16,5,10,14.6,6,8,01096,57,1200,良,68.7,0.4,13-11,33.6-34.7,34.0,514(+4),2012110117, ,2008104268,G3,芝
2016-12-24,5阪神8,晴,11,阪神C(G2),201609050811,15,5,9,47.6,10,14,01096,57,1400,稍,83.4,1.5,8-10,34.9-35.4,36.1,510(0),2013100783, ,2008104268,G2,芝
2016-11-20,5京都6,曇,11,マイルチャンピオンS(G1),201608050611,18,2,3,61.7,12,17,01096,57,1600,良,95.7,2.6,3-5,34.4-35.6,37.7,510(0),2011103916, ,2008104268,G1,芝
2016-10-02,4中山8,晴,11,スプリンターズS(G1),201606040811,16,4,7,37.9,12,5,01096,57,1200,良,67.7,0.1,10-10,33.4-34.2,33.4,510(+2),2011104416,980.0,2008104268,G1,芝
2016-09-11,4阪神2,晴,11,セントウルS(G2),201609040211,13,8,13,19.0,6,5,01088,57,1200,良,67.9,0.3,2-2,33.1-34.5,34.5,508(-4),2011103328,590.0,2008104268,G2,芝
2016-07-03,3中京2,曇,11,CBC賞(G3),201607030211,13,3,3,9.3,5,6,01096,58.5,1200,良,67.6,0.4,10-10,33.8-33.4,33.0,512(-10),2011104416, ,2008104268,G3,芝
2016-06-09,門別,雨,11,北海道スプリントカッ(G3),201630060911,13,4,5,9.1,3,3,01096,59,1200,不,70.7,0.8,5-6, ,35.8,522(+13),2010110102,330.0,2008104268,G3,ダ
