horse_id,bday,tamer_id,owner_id,producer_id,production_area,lifetime_record,wined_race_title,inbreeding_1,inbreeding_2,father,faths_father,faths_mother,mother,moths_father,moths_mother
2000101573,2000-03-21,00369,226800,370126,早来町,31戦8勝 [8-10-2-11],200709010811,2001103353,2006105892,1985103538,000a0000ed,1979101752,1994108687,000a00033a,000a006184
2000105020,2000-05-02,01098,695004,400314,新冠町,45戦6勝 [6-10-4-25],200609030610,1988101025,1997105089,000a00033a,000a0012bf,000a008c1e,1982102716,000a000249,1977100733
2001103305,2001-03-09,00429,790005,370126,早来町,34戦8勝 [8-1-1-24],200703020811,2002100810,1999106943,1995103211,000a00033a,1987101495,1986105027,000a000258,1955103896
2001103371,2001-02-27,00348,398002,370126,早来町,46戦8勝 [8-9-7-22],200808010611,2008103196,2012104686,000a000d95,000a00185d,000a00af6b,1995107892,1983109006,000a006187
2001103452,2001-03-19,01053,790005,370126,早来町,38戦7勝 [7-5-9-17],200705030412,2011104056,2008103322,1993190001,000a001bde,000a00a488,1992109610,000a00033a,000a00623e
2002103091,2002-03-01,00874,398002,000014,浦河町,38戦6勝 [6-3-7-22],200608010611,2001100508,2007101630,1996107396,000a00033a,1990104462,1992110153,000a0015e0,000a009928
2002107238,2002-02-26,01098,695004,110021,三石町,63戦9勝 [9-6-5-43],201009010811,2007103697,1998110128,1995108742,000a001d7e,000a0002c9,000a0003b3,000a0019b4,000a00af39
2003102205,2003-03-07,00216,523005,610012,浦河町,27戦9勝 [9-7-2-9],200605030410,2004102198,2006102231,000a000d77,000a00185d,000a009851,1997102385,000a0000cc,1983102786
2003102720,2003-03-14,00119,542800,NaN,白老ファーム,"4億6,078万円 (中央)",2003102720,200607030611,NaN,1992109618,000a00033a,000a00021e,1998101676,1983109006,1988107344
2003102883,2003-03-01,01061,398002,370126,早来町,14戦7勝 [7-2-2-3],200808030411,2009106181,2006103229,000a00013a,000a001849,000a00a946,1995107865,000a0002a6,000a0063be
2003102976,2003-03-13,00362,398002,370126,早来町,22戦4勝 [4-3-2-13],200605020311,2009106325,2016100559,000a00033a,000a0012bf,000a008c1e,1994108627,000a000d6b,000a0063be
2004100275,2004-05-11,01119,703006,400507,三石町,34戦5勝 [5-6-2-21],200805030412,2005105009,2009104652,1987107235,1978106598,1978106600,1996107343,000a00033a,1990104577
2004103163,2004-03-23,01058,537009,300126,千歳市,23戦6勝 [6-2-2-13],200708040711,2008102831,2006102926,1990109700,000a0000cc,000a00977e,1996107164,000a00033a,000a00631a
1999104268,1999-04-08,01046,506800,130158,新冠町,43戦9勝 [9-4-6-24],200408010611,2006104339,2003100230,1992103687,000a00033a,1980103440,1994106587,000a0016eb,000a006446
2001100925,2001-02-10,05105,716800,200091,三石,48戦10勝 [10-8-1-29],200406040411,2007103535,2005104165,000a000d8c,000a001bed,000a00a405,1993102818,000a0003c7,1987101692
2001103389,2001-05-03,01053,226800,370126,早来町,32戦6勝 [6-2-3-21],200408040611,1998101793,2007103260,1993109188,000a00033a,000a0062c2,000a006618,000a0017b2,000a00a57d
2001103452,2001-03-19,01053,790005,370126,早来町,38戦7勝 [7-5-9-17],200705030412,2011104056,2008103322,1993190001,000a001bde,000a00a488,1992109610,000a00033a,000a00623e
2002107238,2002-02-26,01098,695004,110021,三石町,63戦9勝 [9-6-5-43],201009010811,2007103697,1998110128,1995108742,000a001d7e,000a0002c9,000a0003b3,000a0019b4,000a00af39
2003100738,2003-03-18,00399,546800,NaN,ビッグレッドファーム,"5億5,703万円 (中央)",2003100738,200908030410,NaN,1993190010,000a001b87,000a00abc0,1993108511,1985103538,000a0060b8
2003101046,2003-04-08,00422,356002,610310,新冠町,37戦4勝 [4-1-1-31],200509050211,2006104521,2010105629,1989109110,000a0017c9,000a009b99,1996107636,000a00032c,000a0061bf
2003102640,2003-03-23,00411,260008,393126,千歳市,41戦6勝 [6-2-4-29],200909020509,2004103281,2009105949,1995107978,1982101222,1987105552,1996107245,1990109700,1987105684
2003107368,2003-02-19,00383,539002,133158,新冠町,54戦8勝 [8-1-6-39],200706030111,1992103009,2000105163,1992103687,000a00033a,1980103440,000a00623a,000a000e32,000a008d20
2004100275,2004-05-11,01119,703006,400507,三石町,34戦5勝 [5-6-2-21],200805030412,2005105009,2009104652,1987107235,1978106598,1978106600,1996107343,000a00033a,1990104577
2004100730,2004-04-23,00301,306008,000319,新冠町,30戦6勝 [6-2-2-20],200707030211,2008104881,2010105893,1994108729,000a00033a,1988107344,1999104317,000a0000cc,1987102415
2004102753,2004-02-24,01071,226800,NaN,社台コーポレーション白老ファーム,"8億4,797万円 (中央)",2004102753,200906050810,NaN,1994108729,000a00033a,1988107344,1997103540,1987107235,1986104911
2004102859,2004-02-18,00419,226800,NaN,ノーザンファーム,"3億1,172万円 (中央)",2004102859,200906030111,NaN,1996107396,000a00033a,1990104462,000a0064f2,000a0019da,000a009c97
2004103163,2004-03-23,01058,537009,300126,千歳市,23戦6勝 [6-2-2-13],200708040711,2008102831,2006102926,1990109700,000a0000cc,000a00977e,1996107164,000a00033a,000a00631a
