race_id,rank,frame_number,horse_number,horse_id,age,burden_weight,rider_id,popular,tamer_id,owner_id,is_senba,is_mesu,is_osu,race_round,weather,ground_status,where_racecourse,total_horse_number,is_left_right_straight
201805010103,10,2,3,2015103494,3,56.0,1004,13.0,421,74700,0,0,1,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,11,5,9,2015105883,3,54.0,1049,16.0,1089,772002,0,1,0,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,12,1,2,2015110080,3,54.0,1095,4.0,1141,851009,0,1,0,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,13,6,12,2015100462,3,54.0,641,9.0,359,975030,0,1,0,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,14,4,7,2015103506,3,56.0,1089,14.0,1134,898005,0,0,1,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,15,1,1,2015101288,3,54.0,1096,7.0,1100,607033,0,1,0,3,天候 : 晴,ダート : 不良,東京,16,左
201805010103,16,2,4,2015101998,3,54.0,1118,15.0,1156,405800,0,1,0,3,天候 : 晴,ダート : 不良,東京,16,左
201805010106,1,5,10,2013102841,5,54.0,1169,2.0,1010,350004,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,2,3,6,2014101462,4,56.0,422,5.0,1023,382004,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,3,8,16,2013101325,5,57.0,1122,4.0,1147,675030,1,0,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,4,7,14,2013105383,5,55.0,1043,7.0,1127,993033,0,1,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,5,7,13,2011104171,7,57.0,1091,12.0,392,7803,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,6,6,12,2014102420,4,54.0,1029,14.0,1005,36006,0,1,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,7,4,7,2014105250,4,56.0,5386,1.0,390,221007,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,8,3,5,2012105471,6,55.0,1092,6.0,1108,100800,0,1,0,6,天候 : 晴,ダート : 不良,東京,16,左
201805010106,9,8,15,2013100034,5,57.0,663,13.0,436,491030,0,0,1,6,天候 : 晴,ダート : 不良,東京,16,左
