date,whereracecourse,weather,race_round,race_title,race_id,total_horse_number,frame_number,horse_number,odds,popular,rank,rider_id,horse_wight,distance,groud_status,goal_time,goal_time_dif,half_way_rank,pace,last_time,horse_weight,runner-up-horse-id,prize,horse_id,race_type,surface
2011-03-05,2中山3,晴,11,夕刊フジオーシャンS(G3),201106020311,16,2,4,48.1,10,9,00684,57,1200,良,68.5,0.7,9-7,33.6-34.2,34.2,558(+8),2007105543, ,2002110074,G3,芝
2011-01-29,2京都1,晴,11,シルクロードS(G3),201108020111,16,4,8,55.1,12,5,05472,56,1200,良,68.6,0.4,5-4,34.8-33.4,33.5,550(+4),2006100529,400.0,2002110074,G3,芝
2010-11-27,6京都7,晴,11,京阪杯(G3),201008060711,18,8,16,30.6,10,16,05335,58,1200,良,69.2,1.2,8-9,33.9-34.1,34.7,546(0),2005102294, ,2002110074,G3,芝
2010-11-07,6京都2,曇,10,京洛S(OP),201008060210,12,5,5,6.2,3,5,01088,56,1200,良,68.6,0.2,9-8,34.5-33.9,33.6,546(-2),2004104528,220.0,2002110074,OP,芝
2010-07-18,2新潟2,晴,11,アイビスサマーD(G3),201004020211,18,3,5,15.7,9,9,00635,58,1000,良,54.3,0.4,13,31.8-32.4,32.1,548(+2),2004103689, ,2002110074,G3,芝
2010-06-13,4京都8,雨,10,CBC賞(G3),201008040810,18,5,9,4.9,1,6,05203,56,1200,稍,69.6,0.7,12-11,34.3-34.6,34.4,546(0),2004102812, ,2002110074,G3,芝
2010-04-24,3京都1,晴,10,オーストラリアT(OP),201008030110,18,8,17,4.4,2,2,05203,56,1200,良,67.6,0.1,11-10,32.9-34.6,33.5,546(+2),2003106278,894.2,2002110074,OP,芝
2010-03-06,2中山3,雨,11,夕刊フジオーシャンS(G3),201006020311,16,3,6,16.5,8,3,05386,57,1200,重,69.8,0.0,6-5,33.4-36.4,36.0,544(+4),2003110212,"1,009.1",2002110074,G3,芝
2010-02-07,2京都4,晴,11,シルクロードS(G3),201008020411,16,1,2,14.6,6,3,05212,54,1200,良,68.5,0.4,7-7,34.4-33.7,33.6,540(+12),2004103135,"1,009.0",2002110074,G3,芝
2009-11-28,5京都7,晴,11,京阪杯(G3),200908050711,18,3,5,83.5,15,4,05302,58,1200,良,67.8,0.2,7-4,33.1-34.5,34.1,528(-4),2003102587,620.0,2002110074,G3,芝
