horse_id,bday,tamer_id,owner_id,producer_id,production_area,lifetime_record,wined_race_title,inbreeding_1,inbreeding_2,father,faths_father,faths_mother,mother,moths_father,moths_mother
2014101976,2014-05-13,01183,248030,913124,日高町,33戦4勝 [4-6-6-17],201708040711,2018100427,2013100376,2007103143,2001103460,1993109154,2008105619,2002100816,1995102745
2014105258,2014-03-11,01071,808800,NaN,追分ファーム,"4億6,789万円 (中央)",2014105258,201708050611,NaN,000a011996,000a010a5f,000a011903,2002100477,000a00033a,000a0065ef
2014105304,2014-01-13,00411,808800,NaN,追分ファーム,"4億1,308万円 (中央)",2014105304,201801020211,NaN,2002100816,000a00033a,000a0003a2,2001103006,000a001849,000a006812
2014105427,2014-02-15,01172,084800,393126,千歳市,25戦7勝 [7-5-2-11],201809050111,2013105399,2008102792,2001103460,000a001d7e,000a00680e,2002100516,000a00033a,1995107979
2014105517,2014-02-17,01002,415800,NaN,社台ファーム,"3億3,121万円 (中央)",2014105517,201906040711,NaN,1994108729,000a00033a,1988107344,000a011a5f,000a001c66,000a0116d9
2014106010,2014-03-03,01002,226800,NaN,ノーザンファーム,"3億1,808万円 (中央) /576万円 (地方)",2014106010,201908020611,NaN,2007103143,2001103460,1993109154,2000101554,000a00033a,000a00009b
2014106046,2014-05-01,01071,226800,NaN,ノーザンファーム,"5億1,170万円 (中央)",2014106046,201909020411,NaN,2002100816,000a00033a,000a0003a2,000a011a63,000a0119b8,000a0119ea
2014106081,2014-04-13,01121,010803,373126,安平町,30戦6勝 [6-4-1-19],201905050211,2012104772,2011104008,2007103143,2001103460,1993109154,2002106092,000a00033a,1989108586
2015102440,2015-02-15,01055,547800,NaN,田上徹,"2億7,636万円 (中央)",2015102440,201806030811,NaN,2008102636,1994108729,1997103540,2003101283,000a000134,1992106141
2015104287,2015-02-22,01075,415800,NaN,社台ファーム,3億30万円 (中央),2015104287,201808030511,NaN,1994108729,000a00033a,1988107344,2006104791,2001103460,000a000305
2015104882,2015-04-02,01102,506800,NaN,ノーザンファーム,"5億8,942万円 (中央)",2015104882,201806050811,NaN,000a011996,000a010a5f,000a011903,2008101894,2001103460,1999106948
2015105022,2015-02-10,01061,708800,373126,安平町,17戦5勝 [5-1-2-9],201805021210,2016104632,2018105286,2002100816,000a00033a,000a0003a2,2006103348,2001103460,1994109547
2015105064,2015-01-15,01126,226800,NaN,ノーザンファーム,"3億5,244万円 (中央)",2015105064,201808050611,NaN,2008103552,2001103460,1996107173,2005102452,1998190004,1995106674
2013105788,2013-01-28,01061,708800,373126,安平町,28戦6勝 [6-2-2-18],201605021210,2010104042,2016104415,2002100816,000a00033a,000a0003a2,2004103059,000a00013a,000a006897
2014104449,2014-03-30,01039,948006,704079,新ひだか町,42戦4勝 [4-3-4-31],201706020411,2004104345,2009103529,2002100816,000a00033a,000a0003a2,000a00ff55,000a00013a,000a00fedb
2015104287,2015-02-22,01075,415800,NaN,社台ファーム,3億30万円 (中央),2015104287,201808030511,NaN,1994108729,000a00033a,1988107344,2006104791,2001103460,000a000305
2015104639,2015-01-28,01070,075803,373126,安平町,15戦2勝 [2-2-2-9],201905050110,2009106054,2011103737,2002100816,000a00033a,000a0003a2,2000190003,000a0021de,000a01150f
2015104665,2015-03-08,01070,708800,373126,安平町,16戦4勝 [4-2-2-8],201905030511,2018104903,2017105194,2002100816,000a00033a,000a0003a2,2007103234,2001103460,2000110189
2015104882,2015-04-02,01102,506800,NaN,ノーザンファーム,"5億8,942万円 (中央)",2015104882,201806050811,NaN,000a011996,000a010a5f,000a011903,2008101894,2001103460,1999106948
2015105022,2015-02-10,01061,708800,373126,安平町,17戦5勝 [5-1-2-9],201805021210,2016104632,2018105286,2002100816,000a00033a,000a0003a2,2006103348,2001103460,1994109547
2015105046,2015-04-03,01092,226800,NaN,ノーザンファーム,"7億3,746万円 (中央)",2015105046,202009020411,NaN,2008102636,1994108729,1997103540,000a011df8,000a011d8c,000a011d99
2016101163,2016-03-04,05654,406030,253025,新ひだか町,29戦6勝 [6-2-1-20],201909050111,2019104124,2017102391,2009106461,2001103038,1999106889,2010101359,1998101786,1997106423
2016102179,2016-03-25,01017,619800,400018,浦河町,14戦6勝 [6-2-2-4],202105030211,2010110102,2012105586,2002100816,000a00033a,000a0003a2,000a011dc6,000a001a98,000a011d2e
2016104750,2016-03-06,01151,226800,NaN,ノーザンファーム,11億171万円 (中央),2016104750,202006050811,NaN,2001190004,000a001ce7,000a010527,2003103047,1998110135,1997103725
2016105292,2016-04-05,01129,180800,NaN,社台ファーム,"8,489万円 (中央)",2016105292,201908030511,NaN,2001103460,000a001d7e,000a00680e,2005101462,1998101554,1997103985
2014104386,2014-04-14,01163,553800,NaN,木村秀則,2億840万円 (中央),2014104386,201903030411,NaN,1994108729,000a00033a,1988107344,000a011ffe,000a00185d,000a011f90
2014104449,2014-03-30,01039,948006,704079,新ひだか町,42戦4勝 [4-3-4-31],201706020411,2004104345,2009103529,2002100816,000a00033a,000a0003a2,000a00ff55,000a00013a,000a00fedb
2014105258,2014-03-11,01071,808800,NaN,追分ファーム,"4億6,789万円 (中央)",2014105258,201708050611,NaN,000a011996,000a010a5f,000a011903,2002100477,000a00033a,000a0065ef
2015104624,2015-03-06,05683,131031,393126,千歳市,31戦5勝 [5-4-4-18],201835092312,2020104679,2014105768,1999106738,1992190005,1992190002,2004105725,1998101516,1999102749
2015105022,2015-02-10,01061,708800,373126,安平町,17戦5勝 [5-1-2-9],201805021210,2016104632,2018105286,2002100816,000a00033a,000a0003a2,2006103348,2001103460,1994109547
2016100915,2016-04-07,01142,005803,400317,新冠町,25戦4勝 [4-4-1-16],202008010711,2014100870,2020106012,2009105084,2002100816,000a0106a6,000a012062,000a010cdf,000a01203c
2016100970,2016-03-28,01003,830033,400340,新冠町,33戦4勝 [4-2-2-25],202110010111,2015100945,2019101038,2007102951,000a0022d2,000a010eb7,2010106169,2000101561,2002102055
2016104532,2016-01-24,00386,226800,NaN,ノーザンファーム,"10億7,381万円 (中央)",2016104532,202005030211,NaN,2002100816,000a00033a,000a0003a2,000a01205e,000a011248,000a012026
