race_id,race_round,race_title,race_course,weather,ground_status,time,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3
202305010301,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2023年2月4日,1回東京3日目,16,8,16,2,4,6,12,320,160,350,280,"1,040","2,390",890,920,"1,440","3,520","7,640","30,410"
202305010302,2 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 良,発走 : 10:40,2023年2月4日,1回東京3日目,16,8,16,7,14,2,4,800,490,480,930,"4,570","5,110","1,290","2,210","1,860","12,910","21,680","137,460"
202305010303,3 R,3歳未勝利,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2023年2月4日,1回東京3日目,16,5,10,4,8,8,15,"1,760",320,150,190,830,"2,430",760,"1,240",570,"6,890","6,270","54,100"
202305010304,4 R,3歳1勝クラス,ダ左1400m,天候 : 晴,ダート : 良,発走 : 11:40,2023年2月4日,1回東京3日目,11,4,4,3,3,5,5,"1,230",220,110,650,600,590,320,"3,070",890,"2,130","4,330","30,470"
202305010305,5 R,3歳未勝利,芝左2400m,天候 : 晴,芝 : 良,発走 : 12:30,2023年2月4日,1回東京3日目,18,7,14,8,16,4,8,270,160,410,230,510,"3,050",940,520,"1,230","4,330","5,970","27,700"
202305010306,6 R,3歳新馬,芝左1800m,天候 : 晴,芝 : 良,発走 : 13:05,2023年2月4日,1回東京3日目,16,1,1,4,8,1,2,"1,220",340,160,220,540,"1,880",810,"1,150",450,"4,950","3,800","27,670"
202305010307,7 R,4歳以上1勝クラス,芝左1600m,天候 : 晴,芝 : 良,発走 : 13:35,2023年2月4日,1回東京3日目,15,6,10,8,14,4,7,330,150,110,940,380,380,220,"5,110","1,940",800,"6,540","36,000"
202305010308,8 R,4歳以上1勝クラス,ダ左1600m,天候 : 晴,ダート : 良,発走 : 14:05,2023年2月4日,1回東京3日目,16,7,14,5,10,7,13,530,240,440,270,570,"5,820","1,900","1,030","2,210","8,650","15,390","92,460"
202305010309,9 R,春菜賞 ,芝左1400m,天候 : 晴,芝 : 良,"発走 : 14:35

過去の春菜賞",2023年2月4日,1回東京3日目,11,7,8,6,6,8,11,270,120,130,150,310,460,200,240,350,850,830,"3,330"
202305010310,10 R,テレビ山梨杯 ,芝左1400m,天候 : 晴,芝 : 良,"発走 : 15:10

過去のテレビ山梨杯",2023年2月4日,1回東京3日目,11,5,5,7,9,4,4,"3,820",800,420,300,"8,300","13,030","3,140","3,540","1,300","34,490","33,850","306,750"
202305010311,11 R,早春ステークス ,芝左2400m,天候 : 晴,芝 : 良,"発走 : 15:45

過去の早春ステークス",2023年2月4日,1回東京3日目,12,6,8,8,11,2,2,520,310,"5,340",300,"8,690","46,520","11,210",470,"7,360","71,860","64,960","492,950"
202305010312,12 R,4歳以上2勝クラス,ダ左1600m,天候 : 晴,ダート : 良,発走 : 16:25,2023年2月4日,1回東京3日目,16,5,9,1,2,3,6,300,170,550,260,680,"5,770","1,620",510,"2,560","7,990","11,810","58,720"
202305010401,1 R,3歳未勝利,ダ左1400m,天候 : 晴,ダート : 良,発走 : 10:10,2023年2月5日,1回東京4日目,16,6,11,8,16,6,12,"1,190",300,500,"1,120","3,850","6,440","1,580","3,810","6,880","19,620","74,710","529,660"
202305010402,2 R,3歳未勝利,ダ左2100m,天候 : 晴,ダート : 良,発走 : 10:40,2023年2月5日,1回東京4日目,16,5,9,2,4,2,3,530,200,160,170,600,"1,540",640,520,340,"2,510","1,720","9,420"
202305010403,3 R,3歳新馬,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:10,2023年2月5日,1回東京4日目,16,7,13,1,2,4,8,160,110,180,240,520,820,370,470,"1,050",960,"2,260","5,950"
202305010404,4 R,4歳以上1勝クラス,ダ左1600m,天候 : 晴,ダート : 良,発走 : 11:40,2023年2月5日,1回東京4日目,16,7,14,6,11,5,10,670,300,310,320,"1,280","4,000","1,070","1,970","1,680","6,110","12,620","58,820"
202305010405,5 R,3歳未勝利,芝左1600m,天候 : 晴,芝 : 良,発走 : 12:30,2023年2月5日,1回東京4日目,16,4,8,1,1,6,11,150,110,230,200,500,930,410,310,"1,210","1,240","2,570","7,020"
202305010406,6 R,3歳新馬,芝左1600m,天候 : 晴,芝 : 良,発走 : 13:00,2023年2月5日,1回東京4日目,16,1,2,3,6,7,13,220,130,220,490,810,"1,050",450,960,"3,110","1,540","6,890","18,260"
202305010407,7 R,4歳以上1勝クラス,ダ左1300m,天候 : 晴,ダート : 良,発走 : 13:30,2023年2月5日,1回東京4日目,16,5,10,1,2,2,3,300,150,220,180,750,"1,100",460,470,770,"1,840","2,420","10,020"
202305010408,8 R,4歳以上2勝クラス,芝左2000m,天候 : 晴,芝 : 良,発走 : 14:01,2023年2月5日,1回東京4日目,10,3,3,7,8,8,10,190,110,110,140,310,320,170,230,270,530,500,"1,540"
202305010409,9 R,ゆりかもめ賞 ,芝左2400m,天候 : 晴,芝 : 良,"発走 : 14:35

過去のゆりかもめ賞",2023年2月5日,1回東京4日目,10,7,8,2,2,8,10,150,110,180,140,780,790,260,210,640,840,"1,110","3,570"
202305010410,10 R,銀蹄ステークス ,ダ左1400m,天候 : 晴,ダート : 良,"発走 : 15:10

過去の銀蹄ステークス",2023年2月5日,1回東京4日目,16,8,16,1,2,8,15,450,220,200,620,"1,030","1,720",660,"1,480","2,450","3,110","14,400","53,920"
202305010411,11 R,第73回東京新聞杯(G3),芝左1600m,天候 : 晴,芝 : 良,"発走 : 15:45

過去の東京新聞杯",2023年2月5日,1回東京4日目,16,1,2,8,15,8,16,950,310,180,320,"1,510","2,360",930,"1,970",730,"5,290","8,120","45,900"
202305010412,12 R,4歳以上2勝クラス,ダ左1300m,天候 : 晴,ダート : 良,発走 : 16:25,2023年2月5日,1回東京4日目,16,5,10,2,4,8,16,340,160,180,400,580,830,390,"1,060","1,060","1,470","4,300","18,800"
202305010501,1 R,3歳未勝利,ダ左1300m,天候 : 晴,ダート : 不良,発走 : 10:55,2023年2月11日,1回東京5日目,16,1,2,5,10,2,4,350,170,480,250,"3,050","5,020","1,510",600,"1,250","7,390","10,100","49,140"
