race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202305010301,1,8,16,2020100516,牝3,54,05339,1:27.6,,"

**

",4-4,37.2,3.2,2,446(-2),"

",01126,138007
202305010301,2,2,4,2020105055,牝3,54,01162,1:27.9,1.3/4,"

**

",9-8,37.2,19.0,7,444(0),"

",01048,042033
202305010301,3,6,12,2020100117,牝3,54,01170,1:28.2,1.3/4,"

**

",4-4,37.8,13.4,6,474(+2),"

",01086,888800
202305010301,4,6,11,2020100390,牝3,54,01122,1:28.4,1,"

**

",2-2,38.3,2.9,1,486(+4),"

",01167,526030
202305010301,5,4,7,2020102690,牝3,54,01169,1:28.4,クビ,"

**

",13-14,37.2,35.7,10,406(-12),"

",01114,486800
202305010301,6,7,14,2020104227,牝3,54,01150,1:28.5,クビ,"

**

",11-12,37.4,32.0,9,454(0),"

",01141,678800
202305010301,7,5,9,2020103030,牝3,54,05386,1:28.5,ハナ,"

**

",11-10,37.6,8.5,4,462(+12),"

",01179,415800
202305010301,8,3,5,2020105677,牝3,54,00422,1:28.5,クビ,"

**

",1-1,38.6,54.9,11,444(-2),"

",01182,032800
202305010301,9,1,2,2020100721,牝3,54,01117,1:28.6,1/2,"

**

",7-4,38.2,27.8,8,446(+2),"

",01080,464030
202305010301,10,5,10,2020107173,牝3,54,01075,1:28.8,1,"

**

",13-12,37.8,7.9,3,448(-12),"

",01108,098803
202305010301,11,1,1,2020104817,牝3,54,01161,1:29.1,2,"

**

",2-2,38.9,345.2,14,450(-6),"

",01089,336030
202305010301,12,2,3,2020103211,牝3,52,01192,1:29.4,1.3/4,"

**

",4-4,38.9,10.3,5,486(+22),"

",01175,858800
202305010301,13,8,15,2020106962,牝3,51,01200,1:29.4,ハナ,"

**

",16-16,37.7,441.8,16,468(+10),"

",01012,629800
202305010301,14,7,13,2020100732,牝3,52,01173,1:29.4,クビ,"

**

",9-10,38.6,209.8,12,482(-8),"

",01074,122008
202305010301,15,4,8,2020100298,牝3,54,01179,1:30.3,5,"

**

",15-14,39.0,220.0,13,406(+20),"

",01187,788800
202305010301,16,3,6,2020100668,牝3,52,01183,1:30.6,1.3/4,"

**

",7-8,39.9,411.7,15,422(+8),"

",01125,300803
202305010302,1,8,16,2020105388,牡3,56,01161,1:21.5,,"

**

",4-4,36.4,8.0,3,508(+4),"

",01051,855030
202305010302,2,7,14,2020105544,牡3,56,01085,1:21.6,1,"

**

",9-1,36.9,13.3,5,446(+2),"

",01054,929002
202305010302,3,2,4,2020100450,牡3,56,01117,1:21.7,アタマ,"

**

",6-8,36.0,35.6,7,494(0),"

",01177,900031
202305010302,4,6,12,2020102393,牝3,54,01170,1:21.7,ハナ,"

**

",1-2,37.0,13.2,4,438(0),"

",01179,149033
202305010302,5,5,10,2020107102,牡3,56,01122,1:21.7,ハナ,"

**

",6-6,36.2,58.8,10,438(+14),"

",01189,373008
202305010302,6,6,11,2020105915,牝3,54,01179,1:21.9,1.1/2,"

**

",9-8,36.1,38.0,8,472(-4),"

",01153,373008
202305010302,7,4,7,2020100363,牡3,56,01140,1:22.1,3/4,"

**

",13-13,35.9,1.6,1,494(-10),"

",01047,619002
202305010302,8,4,8,2020101265,牝3,54,00726,1:22.1,クビ,"

**

",2-3,37.2,16.7,6,452(+2),"

",01010,629800
202305010302,9,2,3,2020100038,牝3,51,01200,1:22.3,1.1/4,"

**

",15-16,35.5,42.8,9,398(+2),"

",01026,377008
202305010302,10,8,15,2020101360,牝3,54,01135,1:22.7,2.1/2,"

**

",3-4,37.5,176.0,12,428(-6),"

",01109,609009
202305010302,11,7,13,2020106028,牡3,56,01162,1:22.8,3/4,"

**

",16-14,36.3,219.3,15,440(0),"

",01133,338008
