race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,time_value,half_way_rank,last_time,odds,popular,horse_weight,tame_time,tamer_id,owner_id
202305010101,1,7,14,2020103198,牝3,54,01170,1:26.1,,"

**

",1-1,37.3,1.6,1,444(-4),"

",01167,226800
202305010101,2,5,10,2020102562,牝3,54,01092,1:26.8,4,"

**

",5-5,37.5,6.0,3,424(-4),"

",01179,763033
202305010101,3,5,9,2020104884,牝3,54,01134,1:27.1,2,"

**

",4-3,38.0,92.7,10,418(0),"

",01035,934006
202305010101,4,8,15,2020100787,牝3,54,00422,1:27.3,3/4,"

**

",2-3,38.2,13.6,4,490(+14),"

",01187,087803
202305010101,5,2,3,2020100387,牝3,52,01183,1:27.9,3.1/2,"

**

",11-11,37.8,5.8,2,450(+2),"

",01074,214002
202305010101,6,4,8,2020104634,牝3,54,01169,1:28.0,1/2,"

**

",14-13,37.4,25.7,7,444(-6),"

",01064,852030
202305010101,7,6,11,2020103454,牝3,53,01188,1:28.1,1,"

**

",2-2,39.2,15.2,5,482(+2),"

",01023,223031
202305010101,8,2,4,2020105332,牝3,54,01135,1:28.5,2.1/2,"

**

",9-9,38.7,108.1,11,442(-4),"

",01109,874033
202305010101,9,4,7,2020105402,牝3,54,01029,1:28.6,1/2,"

**

",8-6,39.0,22.6,6,468(+4),"

",01043,356002
202305010101,10,3,6,2020100037,牝3,52,01192,1:29.0,2.1/2,"

**

",11-13,38.4,134.4,12,446(-4),"

",01118,040803
202305010101,11,6,12,2020109106,牝3,52,01184,1:29.8,5,"

**

",6-6,40.2,44.1,9,444(-8),"

",01171,292030
202305010101,12,3,5,2020102169,牝3,54,01179,1:29.9,3/4,"

**

",6-6,40.4,180.3,14,448(-10),"

",00412,553031
202305010101,13,8,16,2020100589,牝3,54,01096,1:30.1,1.1/4,"

**

",9-9,40.2,38.5,8,446(-2),"

",00421,751033
202305010101,14,7,13,2020100373,牝3,52,01173,1:30.3,1,"

**

",11-12,39.9,229.1,15,474(+16),"

",01005,036006
202305010101,15,1,2,2020103204,牝3,51,01200,1:31.2,5,"

**

",16-15,40.2,175.1,13,480(0),"

",01054,831800
202305010101,16,1,1,2020100050,牝3,54,01117,1:31.6,2.1/2,"

**

",14-15,40.6,300.2,16,418(0),"

",01195,055700
202305010102,1,7,13,2020101639,牡3,56,01161,1:27.6,,"

**

",5-4,37.1,2.6,1,470(0),"

",01115,208008
202305010102,2,8,16,2020102703,牝3,54,00733,1:27.7,1/2,"

**

",9-9,36.7,20.8,7,454(0),"

",01067,746033
202305010102,3,1,1,2020106776,牝3,54,01135,1:28.4,4,"

**

",1-1,38.2,32.5,9,480(0),"

",01027,013803
202305010102,4,5,9,2020104318,牡3,56,01115,1:29.0,3.1/2,"

**

",16-15,36.9,7.4,4,518(0),"

",01068,616031
202305010102,5,3,6,2020100176,牝3,54,05339,1:29.1,1/2,"

**

",5-4,38.7,5.0,2,434(0),"

",01126,669033
202305010102,6,8,15,2020104627,牡3,56,01092,1:29.7,3.1/2,"

**

",10-9,38.7,42.6,11,468(0),"

",01100,344031
202305010102,7,2,4,2020103884,牝3,54,01170,1:29.7,クビ,"

**

",3-4,39.2,5.1,3,446(0),"

",01086,906033
202305010102,8,6,12,2020103829,牡3,56,01134,1:30.2,3,"

**

",8-7,39.4,125.0,14,416(0),"

",01124,752006
202305010102,9,2,3,2020104047,牡3,56,01117,1:30.4,1.1/2,"

**

",3-3,40.1,140.9,16,468(0),"

",01056,464030
202305010102,10,6,11,2020105854,牡3,54,01173,1:30.6,1.1/4,"

**

",12-13,38.6,135.9,15,450(0),"

",01024,358031
202305010102,11,5,10,2020104029,牝3,52,01184,1:30.7,1/2,"

**

",5-7,40.0,24.7,8,446(0),"

",01090,861002
202305010102,12,4,8,2020103909,牝3,51,01200,1:31.6,5,"

**

",10-11,40.0,13.1,5,422(0),"

",01080,201033
202305010102,13,4,7,2020101104,牡3,56,01179,1:32.0,2.1/2,"

**

",12-13,40.1,39.4,10,506(0),"

",01080,070803
202305010102,14,3,5,2020106972,牡3,56,00726,1:32.3,1.3/4,"

**

",15-16,39.9,100.2,13,472(0),"

",01074,629800
