race_id,race_round,race_title,weather,ground_status,date,where_racecourse,total_horse_number,frame_number_first,horse_number_first,frame_number_second,horse_number_second,frame_number_third,horse_number_third,tansyo,hukusyo_first,hukusyo_second,hukusyo_third,wakuren,umaren,wide_1_2,wide_1_3,wide_2_3,umatan,renhuku3,rentan3,is_left_right_straight,distance,hour
202105030312,12,3歳以上1勝クラス,天候 : 晴,ダート : 良,2021年6月12日,東京,16,3,5,2,3,8,16,380,160,160,540,670,700,350,2540,2860,1150,9500,33390,左,1400,16
202105030401,1,3歳未勝利,天候 : 晴,ダート : 良,2021年6月13日,東京,15,5,8,5,9,8,14,1620,270,110,130,1740,1610,520,770,190,4980,1590,17020,左,1600,10
202105030402,2,3歳未勝利,天候 : 曇,ダート : 良,2021年6月13日,東京,16,5,10,3,5,7,14,250,130,140,260,460,450,220,620,730,770,1650,4960,左,1400,10
202105030403,3,3歳未勝利,天候 : 曇,ダート : 良,2021年6月13日,東京,16,3,5,4,8,1,2,330,180,370,420,1360,2890,1210,1330,2990,4830,21330,68860,左,1600,11
202105030407,7,3歳以上1勝クラス,天候 : 曇,ダート : 良,2021年6月13日,東京,16,2,4,5,10,1,2,780,200,310,130,2540,4640,1230,430,510,7460,3070,35890,左,2100,13
202105030409,9,八王子特別 ,天候 : 曇,ダート : 良,2021年6月13日,東京,16,8,16,5,10,1,2,33350,6610,260,530,17410,130020,32810,53570,1790,379780,356300,2827740,左,2100,14
202105030410,10,夏至ステークス ,天候 : 雨,ダート : 良,2021年6月13日,東京,16,5,9,1,1,8,16,280,150,210,860,1130,1130,630,2180,6150,1850,28310,97120,左,1600,15
202105030502,2,3歳未勝利,天候 : 雨,ダート : 重,2021年6月19日,東京,13,7,11,4,5,6,8,460,130,250,120,1720,2800,860,210,640,4930,1870,16100,左,1600,10
202105030503,3,3歳未勝利,天候 : 雨,ダート : 重,2021年6月19日,東京,16,1,1,5,9,7,13,610,280,990,200,2320,10570,3020,690,2440,17060,16420,101010,左,1400,11
202105030504,4,3歳未勝利,天候 : 雨,ダート : 重,2021年6月19日,東京,14,3,4,8,14,8,13,400,190,380,260,1260,4090,1470,940,1540,6480,11990,54050,左,1600,11
202105030506,6,3歳未勝利,天候 : 雨,ダート : 重,2021年6月19日,東京,16,8,16,4,7,2,3,1950,420,160,210,290,4080,1330,1840,470,11170,6240,67810,左,1300,13
202105030509,9,青梅特別 ,天候 : 小雨,ダート : 重,2021年6月19日,東京,12,3,3,8,12,7,9,180,110,450,310,1930,3670,1190,710,5130,5030,13140,53740,左,1600,14
202105030511,11,スレイプニルS ,天候 : 小雨,ダート : 重,2021年6月19日,東京,16,5,9,2,3,3,6,970,300,180,650,620,2430,940,2940,2110,6070,16250,103550,左,2100,15
202105030602,2,3歳未勝利,天候 : 晴,ダート : 不良,2021年6月20日,東京,14,4,5,5,7,3,3,430,180,310,170,1830,3060,980,440,1010,5130,4220,24710,左,1600,10
202105030603,3,3歳未勝利,天候 : 晴,ダート : 不良,2021年6月20日,東京,16,2,3,1,2,5,10,1380,190,110,150,660,750,290,840,290,2660,1630,17740,左,1400,11
202105030604,4,3歳未勝利,天候 : 晴,ダート : 不良,2021年6月20日,東京,16,8,15,2,4,4,8,280,160,150,200,510,830,410,580,510,1330,1790,6090,左,2100,11
202105030607,7,3歳以上1勝クラス,天候 : 晴,ダート : 重,2021年6月20日,東京,16,6,12,7,14,4,7,290,120,120,180,400,350,200,460,370,690,1210,3710,左,1600,13
202105030611,11,第26回ユニコーンステークス(G3),天候 : 曇,ダート : 重,2021年6月20日,東京,16,1,2,8,15,4,7,1340,360,1870,210,1510,50600,13140,1450,7550,78550,107560,793400,左,1600,15
202105030612,12,3歳以上1勝クラス,天候 : 曇,ダート : 重,2021年6月20日,東京,16,3,6,5,10,4,8,830,310,170,370,2110,2940,980,2020,1040,5750,12220,62980,左,1400,16
202105030702,2,3歳未勝利,天候 : 晴,ダート : 稍重,2021年6月26日,東京,16,2,3,1,1,6,12,620,200,130,150,1100,1310,410,530,280,2500,1720,13570,左,1600,10
202105030703,3,3歳未勝利,天候 : 晴,ダート : 稍重,2021年6月26日,東京,16,8,15,4,7,1,2,1570,310,160,220,2230,2900,860,1180,460,6670,5340,36910,左,1300,11
202105030706,6,3歳未勝利,天候 : 曇,ダート : 良,2021年6月26日,東京,16,1,2,8,16,1,1,340,130,110,140,250,350,170,330,300,840,680,3020,左,1400,12
202105030707,7,3歳以上1勝クラス,天候 : 曇,ダート : 良,2021年6月26日,東京,14,1,1,6,9,5,8,700,260,160,550,520,780,370,2410,1040,2100,6490,31420,左,2100,13
202105030709,9,清里特別 ,天候 : 曇,ダート : 良,2021年6月26日,東京,16,5,10,4,8,5,9,750,220,190,560,1420,2060,630,1500,1290,4360,9200,48340,左,1400,14
202105030710,10,日野特別 ,天候 : 曇,ダート : 良,2021年6月26日,東京,16,8,16,7,13,8,15,190,130,840,650,1420,4940,1460,990,12830,5180,27030,89430,左,1600,15
