race_id,rank,frame_number,horse_number,horse_id,sex_and_age,burden_weight,rider_id,goal_time,goal_time_dif,half_way_rank,last_time,odds,popular,horse_weight,tamer_id,owner_id,is_down,age,sex,horse_weight_dif,burden_weight_rate,avg_velocity
202207020611,1,1,2,2016106453,0,57,1117,68.3,0.0,14.5,34,27.8,8,486.0,420,555031,0,6,0,-12.0,0.11728395061728394,17.569546120058565
202207020611,2,5,9,2017110144,1,55,1174,68.3,0.0,7.5,34,12.9,5,476.0,1183,882800,0,5,1,-8.0,0.11554621848739496,17.569546120058565
202207020611,3,5,10,2015101028,2,57,1161,68.3,0.0,3.0,35,225.8,17,500.0,1027,865800,0,7,2,-6.0,0.114,17.569546120058565
202207020611,4,7,13,2015104364,0,57,1157,68.4,0.10000000000000853,11.5,34,27.0,7,490.0,1135,758005,0,7,0,-2.0,0.11632653061224489,17.543859649122805
202207020611,5,8,17,2018105069,1,55,1032,68.4,0.0,7.5,34,5.2,2,468.0,1161,4800,0,4,1,-4.0,0.11752136752136752,17.543859649122805
202207020611,6,4,7,2017105563,1,55,1170,68.6,0.19999999999998863,1.0,35,2.2,1,516.0,1149,486800,0,5,1,18.0,0.1065891472868217,17.49271137026239
202207020611,7,2,3,2017105541,1,55,1075,68.6,0.0,10.0,35,30.0,9,482.0,1127,849030,0,5,1,2.0,0.11410788381742738,17.49271137026239
202207020611,8,6,12,2016103143,1,55,1019,68.6,0.0,17.0,34,128.0,15,456.0,1139,835033,0,6,1,0.0,0.1206140350877193,17.49271137026239
202207020611,9,3,6,2017106720,0,57,666,68.6,0.0,14.5,34,60.7,11,478.0,1072,306008,0,5,0,-2.0,0.1192468619246862,17.49271137026239
202207020611,9,7,15,2016102197,0,57,5243,68.6,0.0,5.0,35,204.0,16,522.0,1148,271008,0,6,0,4.0,0.10919540229885058,17.49271137026239
202207020611,11,4,8,2015110013,0,57,1160,68.7,0.10000000000000853,2.0,35,65.0,13,514.0,1071,948006,0,7,0,4.0,0.11089494163424124,17.46724890829694
202207020611,12,8,18,2018104934,0,57,1014,68.8,0.09999999999999432,14.0,34,5.6,3,460.0,1137,226800,0,4,0,-8.0,0.12391304347826088,17.441860465116278
202207020611,13,2,4,2015101599,0,57,660,68.9,0.10000000000000853,3.0,35,80.5,14,518.0,1044,3060,0,7,0,6.0,0.11003861003861004,17.41654571843251
202207020611,14,7,14,2015103057,0,57,5203,68.9,0.0,18.0,34,18.4,6,474.0,438,506800,0,7,0,-4.0,0.12025316455696203,17.41654571843251
202207020611,15,1,1,2017105327,0,57,1077,68.9,0.0,6.0,35,10.7,4,550.0,1070,506800,0,5,0,8.0,0.10363636363636364,17.41654571843251
202207020611,16,6,11,2016103690,0,57,1085,69.2,0.29999999999999716,10.5,35,64.8,12,492.0,1041,970006,0,6,0,-2.0,0.11585365853658537,17.341040462427745
202207020611,17,3,5,2018104029,1,55,1176,69.3,0.09999999999999432,5.0,35,47.2,10,452.0,1112,547800,0,4,1,6.0,0.12168141592920353,17.316017316017316
202207020611,18,8,16,2014102625,0,57,1185,69.4,0.10000000000000853,11.5,35,389.8,18,530.0,1142,177033,0,8,0,2.0,0.10754716981132076,17.291066282420747
